environment,method,success_rate,avg_rollouts_per_ep
plancraft,principled_v2,0.2717,0.7683
plancraft,principled_nopca,0.2350,5.6117
plancraft,se_online_decay_local,0.2333,3.6917
plancraft,se_c3_selcum_local,0.2717,0.3367
plancraft,se_few5_openrouter,0.2800,0.2517
plancraft,principled_auto,0.2217,5.4367
plancraft,se_few5_filter_local,0.2800,0.2800
plancraft,se_online_fix_ref_local,0.2533,2.9033
plancraft,principled_fbeta,0.2333,5.3817
plancraft,principled_adaptive,0.2267,5.3233
plancraft,se_few5_filter_openrouter,0.2817,0.2533
plancraft,se_c3_addlat_local,0.2733,0.5783
plancraft,se_feedback_cycle3_local,0.2750,0.2517
plancraft,se_c3_addcum_local,0.2700,0.7600
plancraft,self_evolving_openrouter,0.2800,0.2533
plancraft,se_feedback_cycle2_local,0.2833,0.2750
plancraft,se_c3_sellat_local,0.2800,0.6017
plancraft,se_feedback_cycle2_openrouter,0.2833,0.4367
plancraft,se_few5flt_or_100cal,0.2683,0.9000
plancraft,se_few5_local,0.2833,0.2517
plancraft,principled_online,0.2217,5.3667
plancraft,se_100cal_fb_c3_local,0.2733,1.0100
plancraft,self_evolving_local,0.2633,0.9950
plancraft,se_online_fix_local,0.2450,2.7600
plancraft,seag,0.2483,2.1600
plancraft,corefine,0.2283,2.0600
plancraft,cats,0.2233,4.3867
plancraft,catts,0.2500,2.1417
plancraft,s1_budget,0.1833,1.6767
plancraft,auq,0.2417,6.7783
