backbone,env,n,status,perturbation_type,param_value,pos_frac,label_flip_rate,majority_class,majority_flipped,spearman_rho
Phi-3.5-mini,FEVER,824,OK,scale,1.0,,,,,-0.15576197549536888
Phi-3.5-mini,FEVER,824,OK,scale,2.0,,,,,-0.15576197549536888
Phi-3.5-mini,TWExpress,200,DEAD,,,,,,,
Phi-3.5-mini,Plancraft,2232,DEAD,,,,,,,
Llama-3.1-8B,HotpotQA,244,OK,shift,-0.5,0.5122950819672131,0.13114754098360656,pos,False,-0.3455661284779553
Llama-3.1-8B,HotpotQA,244,OK,shift,-0.25,0.5778688524590164,0.06557377049180328,pos,False,-0.3455661284779553
Llama-3.1-8B,HotpotQA,244,OK,shift,0.0,0.6434426229508197,0.0,pos,False,-0.3455661284779553
Llama-3.1-8B,HotpotQA,244,OK,shift,0.25,1.0,0.35655737704918034,pos,False,-0.3455661284779553
Llama-3.1-8B,HotpotQA,244,OK,shift,0.5,1.0,0.35655737704918034,pos,False,-0.3471517632453446
Llama-3.1-8B,HotpotQA,244,OK,scale,-2.0,,,,,0.3455661284779553
Llama-3.1-8B,HotpotQA,244,OK,scale,-1.0,,,,,0.3455661284779553
Llama-3.1-8B,HotpotQA,244,OK,scale,-0.5,,,,,0.3455661284779553
Llama-3.1-8B,HotpotQA,244,OK,scale,0.5,,,,,-0.3455661284779553
Llama-3.1-8B,HotpotQA,244,OK,scale,1.0,,,,,-0.3455661284779553
Llama-3.1-8B,HotpotQA,244,OK,scale,2.0,,,,,-0.3455661284779553
Llama-3.1-8B,APPS,475,OK,shift,-0.5,0.09263157894736843,0.023157894736842106,neg,False,-0.24164306114565448
Llama-3.1-8B,APPS,475,OK,shift,-0.25,0.11368421052631579,0.002105263157894737,neg,False,-0.24164306114565448
Llama-3.1-8B,APPS,475,OK,shift,0.0,0.11578947368421053,0.0,neg,False,-0.24164306114565448
Llama-3.1-8B,APPS,475,OK,shift,0.25,1.0,0.8842105263157894,pos,True,-0.24164306114565448
Llama-3.1-8B,APPS,475,OK,shift,0.5,1.0,0.8842105263157894,pos,True,-0.24164306114565448
Llama-3.1-8B,APPS,475,OK,scale,-2.0,,,,,0.24164306114565448
Llama-3.1-8B,APPS,475,OK,scale,-1.0,,,,,0.24164306114565448
Llama-3.1-8B,APPS,475,OK,scale,-0.5,,,,,0.24164306114565448
Llama-3.1-8B,APPS,475,OK,scale,0.5,,,,,-0.24164306114565448
Llama-3.1-8B,APPS,475,OK,scale,1.0,,,,,-0.24164306114565448
Llama-3.1-8B,APPS,475,OK,scale,2.0,,,,,-0.24164306114565448
Llama-3.1-8B,WebShop,948,OK,shift,-0.5,0.18670886075949367,0.0,neg,False,0.28696168850300513
Llama-3.1-8B,WebShop,948,OK,shift,-0.25,0.18670886075949367,0.0,neg,False,0.28696168850300513
Llama-3.1-8B,WebShop,948,OK,shift,0.0,0.18670886075949367,0.0,neg,False,0.28696168850300513
Llama-3.1-8B,WebShop,948,OK,shift,0.25,1.0,0.8132911392405063,pos,True,0.28696168850300513
Llama-3.1-8B,WebShop,948,OK,shift,0.5,1.0,0.8132911392405063,pos,True,0.28696168850300513
Llama-3.1-8B,WebShop,948,OK,scale,-2.0,,,,,-0.28696168850300513
Llama-3.1-8B,WebShop,948,OK,scale,-1.0,,,,,-0.28696168850300513
Llama-3.1-8B,WebShop,948,OK,scale,-0.5,,,,,-0.28696168850300513
Llama-3.1-8B,WebShop,948,OK,scale,0.5,,,,,0.28696168850300513
Llama-3.1-8B,WebShop,948,OK,scale,1.0,,,,,0.28696168850300513
Llama-3.1-8B,WebShop,948,OK,scale,2.0,,,,,0.28696168850300513
Llama-3.1-8B,FEVER,840,OK,shift,-0.5,0.14642857142857144,0.02857142857142857,neg,False,0.4279334752918619
Llama-3.1-8B,FEVER,840,OK,shift,-0.25,0.15476190476190477,0.02023809523809524,neg,False,0.4279334752918619
Llama-3.1-8B,FEVER,840,OK,shift,0.0,0.175,0.0,neg,False,0.4279334752918619
Llama-3.1-8B,FEVER,840,OK,shift,0.25,1.0,0.825,pos,True,0.4279334752918619
Llama-3.1-8B,FEVER,840,OK,shift,0.5,1.0,0.825,pos,True,0.4282103749736357
Llama-3.1-8B,FEVER,840,OK,scale,-2.0,,,,,-0.4279334752918619
Llama-3.1-8B,FEVER,840,OK,scale,-1.0,,,,,-0.4279334752918619
Llama-3.1-8B,FEVER,840,OK,scale,-0.5,,,,,-0.4279334752918619
Llama-3.1-8B,FEVER,840,OK,scale,0.5,,,,,0.4279334752918619
Llama-3.1-8B,FEVER,840,OK,scale,1.0,,,,,0.4279334752918619
Llama-3.1-8B,FEVER,840,OK,scale,2.0,,,,,0.4279334752918619
Llama-3.1-8B,TWExpress,200,DEAD,,,,,,,
Llama-3.1-8B,Plancraft,1338,OK,shift,-0.5,0.006726457399103139,0.007473841554559043,neg,False,-0.04098840452283364
Llama-3.1-8B,Plancraft,1338,OK,shift,-0.25,0.014200298953662182,0.0,neg,False,-0.04098840452283364
Llama-3.1-8B,Plancraft,1338,OK,shift,0.0,0.014200298953662182,0.0,neg,False,-0.04098840452283364
Llama-3.1-8B,Plancraft,1338,OK,shift,0.25,1.0,0.9857997010463379,pos,True,-0.04098840452283364
Llama-3.1-8B,Plancraft,1338,OK,shift,0.5,1.0,0.9857997010463379,pos,True,-0.04098840452283364
Llama-3.1-8B,Plancraft,1338,OK,scale,-2.0,,,,,0.04098840452283364
Llama-3.1-8B,Plancraft,1338,OK,scale,-1.0,,,,,0.04098840452283364
Llama-3.1-8B,Plancraft,1338,OK,scale,-0.5,,,,,0.04098840452283364
Llama-3.1-8B,Plancraft,1338,OK,scale,0.5,,,,,-0.04098840452283364
Llama-3.1-8B,Plancraft,1338,OK,scale,1.0,,,,,-0.04098840452283364
Llama-3.1-8B,Plancraft,1338,OK,scale,2.0,,,,,-0.04098840452283364
