backbone,env,n,status,transform_type,param_value,spearman_rho,pearson_rho
Llama-3.1-8B,WebShop,948,OK,linear_T,2.0,0.28696168850300513,0.29760350193756746
Llama-3.1-8B,WebShop,948,OK,linear_T,5.0,0.28696168850300513,0.2976035019375674
Llama-3.1-8B,WebShop,948,OK,power_alpha,0.5,0.28696168850300513,0.310218037110346
Llama-3.1-8B,WebShop,948,OK,power_alpha,1.0,0.28696168850300513,0.29760350193756746
Llama-3.1-8B,WebShop,948,OK,power_alpha,2.0,0.28696168850300513,0.2582859290302789
Llama-3.1-8B,WebShop,948,OK,log,log,0.28696168850300513,0.31018851388068475
Llama-3.1-8B,FEVER,840,OK,linear_T,0.5,0.4279334752918619,0.4807118229844266
Llama-3.1-8B,FEVER,840,OK,linear_T,1.0,0.4279334752918619,0.4807118229844266
Llama-3.1-8B,FEVER,840,OK,linear_T,2.0,0.4279334752918619,0.4807118229844266
Llama-3.1-8B,FEVER,840,OK,linear_T,5.0,0.4279334752918619,0.48071182298442666
Llama-3.1-8B,FEVER,840,OK,power_alpha,0.5,0.4279334752918619,0.4308215257412119
Llama-3.1-8B,FEVER,840,OK,power_alpha,1.0,0.4279334752918619,0.4807118229844266
Llama-3.1-8B,FEVER,840,OK,power_alpha,2.0,0.4279334752918619,0.5278057378624129
Llama-3.1-8B,FEVER,840,OK,log,log,0.4279334752918619,0.3540527050173372
Llama-3.1-8B,TWExpress,200,DEAD,,,,
Llama-3.1-8B,Plancraft,1338,OK,linear_T,0.5,-0.04098840452283364,-0.02295661296146552
Llama-3.1-8B,Plancraft,1338,OK,linear_T,1.0,-0.04098840452283364,-0.02295661296146552
Llama-3.1-8B,Plancraft,1338,OK,linear_T,2.0,-0.04098840452283364,-0.02295661296146552
Llama-3.1-8B,Plancraft,1338,OK,linear_T,5.0,-0.04098840452283364,-0.022956612961465513
Llama-3.1-8B,Plancraft,1338,OK,power_alpha,0.5,-0.04098840452283364,-0.013698022899550417
Llama-3.1-8B,Plancraft,1338,OK,power_alpha,1.0,-0.04098840452283364,-0.02295661296146552
Llama-3.1-8B,Plancraft,1338,OK,power_alpha,2.0,-0.04098840452283364,-0.035481999516378405
Llama-3.1-8B,Plancraft,1338,OK,log,log,-0.04098840452283364,-0.0029787919109105533
