backbone,environment,method,sr_pct,cost_ro_per_ep
Qwen3-4B,Plancraft,SCG,21.5,3.33
Qwen3-4B,APPS,SCG,79.5,1.00
Qwen3-4B,HotpotQA,BSW,58.2,
Qwen3-4B,APPS,BSW,58.8,0.00
Qwen3-4B,WebShop,BSW,20.6,
Qwen3-4B,FEVER,BSW,63.0,4.30
Qwen3-4B,TWExpress,BSW,99.0,3.23
Qwen3-4B,Plancraft,BSW,25.5,5.87
Qwen3-4B,APPS,BSW,79.5,1.39
Qwen3-4B,HotpotQA,EAAG,95.2,1.34
Qwen3-4B,APPS,EAAG,66.0,1.20
Qwen3-4B,WebShop,EAAG,43.8,2.29
Qwen3-4B,FEVER,EAAG,49.8,2.99
Qwen3-4B,TWExpress,EAAG,99.0,2.84
Qwen3-4B,Plancraft,EAAG,23.3,3.69
Qwen3-4B,APPS,EAAG,73.0,1.35
Qwen3-4B,HotpotQA,base_only,49.0,0.00
Qwen3-4B,APPS,base_only,58.5,0.00
Qwen3-4B,WebShop,base_only,7.2,0.00
Qwen3-4B,FEVER,base_only,37.0,0.00
Qwen3-4B,TWExpress,base_only,67.5,0.00
Qwen3-4B,Plancraft,base_only,29.8,0.00
Qwen3-4B,APPS,base_only,60.5,0.00
Qwen3-4B,HotpotQA,always_trigger,97.0,1.80
Qwen3-4B,APPS,always_trigger,64.5,2.58
Qwen3-4B,WebShop,always_trigger,43.0,5.63
Qwen3-4B,FEVER,always_trigger,99.8,1.46
Qwen3-4B,TWExpress,always_trigger,99.3,3.45
Qwen3-4B,Plancraft,always_trigger,22.8,6.99
Qwen3-4B,APPS,always_trigger,79.5,2.19
