n_cal,env,method,seed,status,success_rate,avg_reward,rollout_rate,avg_rollouts_per_ep,total_rollouts,total_decisions,n_episodes,elapsed_seconds,gate_threshold,gate_signal,gate_direction,gate_buffer_size,summary_path
20,hotpotqa,catts,42,OK,0.5333333333333333,0.5333333333333333,0.005813953488372093,0.03333333333333333,1,172,30,149.4253921508789,0.0032091274209205506,vote_entropy,positive_fixed,1,results/phase_b_calibration_sweep/n_cal_20/hotpotqa/catts/seed_42/summary.json
20,hotpotqa,seag,42,OK,0.6666666666666666,0.6666666666666666,0.291044776119403,1.3,39,134,30,101.12836980819702,0.9967960261520454,confidence,negative_fixed,39,results/phase_b_calibration_sweep/n_cal_20/hotpotqa/seag/seed_42/summary.json
20,hotpotqa,corefine,42,OK,0.6666666666666666,0.6666666666666666,0.291044776119403,1.3,39,134,30,104.16264390945435,0.0032091274209205506,token_entropy,positive_fixed,39,results/phase_b_calibration_sweep/n_cal_20/hotpotqa/corefine/seed_42/summary.json
20,hotpotqa,cats,42,OK,0.6666666666666666,0.6666666666666666,0.31343283582089554,1.4,42,134,30,129.67183780670166,,confidence,learned_single_signal,42,results/phase_b_calibration_sweep/n_cal_20/hotpotqa/cats/seed_42/summary.json
20,hotpotqa,auq,42,OK,0.9666666666666667,0.9666666666666667,0.96,1.6,48,50,30,106.74959993362427,0.9967960261520454,verbalized_confidence,negative_fixed,48,results/phase_b_calibration_sweep/n_cal_20/hotpotqa/auq/seed_42/summary.json
20,hotpotqa,s1_budget,42,OK,0.9666666666666667,0.9666666666666667,0.62,1.0333333333333334,31,50,30,60.23072934150696,2,fixed_budget,none,31,results/phase_b_calibration_sweep/n_cal_20/hotpotqa/s1_budget/seed_42/summary.json
20,fever,catts,42,OK,0.3,0.3,0.005405405405405406,0.03333333333333333,1,185,30,157.08066272735596,7.710858798938912e-06,vote_entropy,positive_fixed,1,results/phase_b_calibration_sweep/n_cal_20/fever/catts/seed_42/summary.json
20,fever,seag,42,OK,0.4,0.4,0.8208092485549133,4.733333333333333,142,173,30,274.593380689621,0.999992289170933,confidence,negative_fixed,142,results/phase_b_calibration_sweep/n_cal_20/fever/seag/seed_42/summary.json
20,fever,corefine,42,OK,0.4,0.4,0.8208092485549133,4.733333333333333,142,173,30,271.36288809776306,7.710858798938912e-06,token_entropy,positive_fixed,142,results/phase_b_calibration_sweep/n_cal_20/fever/corefine/seed_42/summary.json
20,fever,cats,42,OK,0.26666666666666666,0.26666666666666666,0.0,0.0,0,185,30,34.0156192779541,,confidence,learned_single_signal,0,results/phase_b_calibration_sweep/n_cal_20/fever/cats/seed_42/summary.json
20,fever,auq,42,OK,0.36666666666666664,0.36666666666666664,0.7514450867052023,4.333333333333333,130,173,30,280.6712682247162,0.999992289170933,verbalized_confidence,negative_fixed,130,results/phase_b_calibration_sweep/n_cal_20/fever/auq/seed_42/summary.json
20,fever,s1_budget,42,OK,0.3333333333333333,0.3333333333333333,0.27624309392265195,1.6666666666666667,50,181,30,118.6926703453064,2,fixed_budget,none,50,results/phase_b_calibration_sweep/n_cal_20/fever/s1_budget/seed_42/summary.json
20,apps,catts,42,OK,0.7,0.8386666666666667,0.012048192771084338,0.03333333333333333,1,83,30,149.6303379535675,0.017980595703015564,vote_entropy,positive_fixed,1,results/phase_b_calibration_sweep/n_cal_20/apps/catts/seed_42/summary.json
